date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:30	220286/220286	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:06%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/burger.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/burger.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:30	14000/14000	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:07%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/adv/pic3.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/adv/pic3.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:30	37088/37088	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:14%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/background/pic15.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/background/pic15.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:31	41903/41903	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:16%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/background/pic16.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/background/pic16.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:31	20787/20787	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:08%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/adv/pic4.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/adv/pic4.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:31	63691/63691	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:34%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic1.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic1.jpg	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:32	62021/62021	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:34%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic2.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic2.jpg	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:32	148875/148875	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:35%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic3.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic3.jpg	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:33	43486/43486	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:36%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic5.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic5.jpg	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:33	76984/76984	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:35%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic4.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic4.jpg	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:33	53302/53302	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:36%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic6.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/gallery/grid4/pic6.jpg	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:34	66523/66523	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:13%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/background/pic13.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/background/pic13.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:34	15771/15771	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:10:29%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/lightgallery/dist/css/lightgallery.css	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/vendor/lightgallery/dist/css/lightgallery.css	(from https://swigo.dexignzone.com/xhtml/about-us.html)
10:07:34	2182/2182	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:10:25%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/lightgallery/dist/css/lg-thumbnail.css	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/vendor/lightgallery/dist/css/lg-thumbnail.css	(from https://swigo.dexignzone.com/xhtml/about-us.html)
